asset,png_w,png_h,bottom_px,bottom_pct,top_px,left_px,right_px,template_id,placed
Buildings/forest_decoration/corrupto/monton_ramas_afiladas,1024,1024,330,32.2,309,172,177,103,0
Buildings/forest_decoration/natural/seta_blanca,1024,1024,308,30.1,304,319,318,85,1
Buildings/forest_decoration/natural/seta_blanca,1024,1024,308,30.1,304,319,318,87,1
Buildings/forest_decoration/natural/piedras_musgo,1024,1024,298,29.1,333,216,244,112,0
Buildings/forest_decoration/natural/petalos_rosados_2,1024,1024,297,29.0,278,225,193,84,1
Buildings/forest_decoration/natural/hojas_frescas,1024,1024,296,28.9,293,178,195,109,0
Buildings/forest_decoration/natural/raiz_expuesta_suave,1024,1024,295,28.8,284,141,150,82,0
Buildings/forest_decoration/natural/petalos_rosados_3,1024,1024,293,28.6,197,304,285,89,0
Buildings/forest_decoration/corrupto/pozo_savia_corrupta,1024,1024,286,27.9,294,161,161,105,0
Buildings/forest_decoration/natural/nido_huevos,1024,1024,286,27.9,288,184,191,110,0
Buildings/forest_decoration/natural/champinones_agrupados_marrones,1024,1024,280,27.3,268,245,268,81,1
Buildings/forest_decoration/natural/champinones_agrupados_marrones,1024,1024,280,27.3,268,245,268,86,1
Buildings/forest_decoration/natural/petalos_rosados_1,1024,1024,277,27.1,268,265,285,111,0
Buildings/forest_decoration/corrupto/semilla_reventada,1024,1024,260,25.4,285,223,225,107,0
Buildings/shops/ukranian_super_2,1024,1536,368,24.0,149,29,24,190,1
Buildings/shops/ukranian_super_2,1024,1536,368,24.0,149,29,24,192,1
Buildings/shops/ukranian_super_2,1024,1536,368,24.0,149,29,24,199,1
Buildings/shops/ukranian_super_2,1024,1536,368,24.0,149,29,24,243,1
Buildings/forest_decoration/natural/Flor_silvestre_azul,1024,1024,227,22.2,245,320,320,83,1
Buildings/portals/portal_2,1024,1536,304,19.8,144,16,22,126,0
Buildings/portals/portal_2,1024,1536,304,19.8,144,16,22,153,0
Buildings/portals/portal_2,1024,1536,304,19.8,144,16,22,230,0
Buildings/portals/portal_2,1024,1536,304,19.8,144,16,22,231,0
Buildings/forest_decoration/corrupto/craneo_muzgo,1024,1024,194,18.9,238,204,253,99,0
Buildings/portals/portal,1024,1536,286,18.6,136,12,18,125,1
Buildings/portals/portal,1024,1536,286,18.6,136,12,18,220,1
Buildings/portals/portal,1024,1536,286,18.6,136,12,18,232,1
Buildings/forest_decoration/corrupto/hojas_marchitas,1024,1024,186,18.2,335,124,134,101,0
Buildings/forest_decoration/natural/mariposa_rama_caida,1024,1024,182,17.8,326,0,0,88,1
Buildings/forest_decoration/corrupto/raiz_retorcida,1024,1024,156,15.2,190,188,193,106,0
Buildings/forest_decoration/corrupto/hongos_liminiscentes_venenosos,1024,1024,154,15.0,176,172,251,102,0
Buildings/forest_decoration/corrupto/flor_carnivora,1024,1024,146,14.3,142,272,231,100,0
Buildings/forest_decoration/corrupto/flor_carnivora,1024,1024,146,14.3,142,272,231,146,0
Buildings/forest_decoration/corrupto/totem_podrido,1024,1024,142,13.9,146,212,238,108,0
Buildings/forest_decoration/corrupto/piedra_runica_musgosa,1024,1024,136,13.3,149,211,175,104,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,217,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,223,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,224,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,225,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,226,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,227,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,228,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,229,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,245,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,246,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,247,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,250,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,251,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,252,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,253,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,254,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,256,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,264,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,265,0
Buildings/combat/coliseo_2,1024,1024,128,12.5,66,54,58,96,0
Buildings/portals/portal_dudgeon_2,1024,1024,123,12.0,114,118,130,128,0
Buildings/portals/portal_dudgeon_2,1024,1024,123,12.0,114,118,130,206,0
Buildings/combat/combat_training_yard,1536,1024,117,11.4,23,0,20,94,0
Buildings/combat/training,1536,1024,117,11.4,23,0,20,97,0
Buildings/gardens/garden_2,1024,1024,114,11.1,18,73,77,121,0
Buildings/gardens/garden_3,1024,1024,114,11.1,30,33,34,122,0
Buildings/portals/portal_runes_inactive,1024,1024,109,10.6,61,177,177,196,0
Buildings/portals/portal_runes_inactive,1024,1024,109,10.6,61,177,177,205,0
Buildings/shops/blacksmith,1024,1024,108,10.5,26,47,47,18,1
Buildings/vegetation/tree_5,256,256,26,10.2,3,13,5,142,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,164,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,165,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,166,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,167,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,168,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,169,0
Buildings/vegetation/tree_11,233,333,32,9.6,0,0,18,170,0
